  ARS_name        A4        B4        C4        D4        E4        F4        G4        H4        A5        B5        C5        D5        E5        F5        G5        H5        A6        B6        C6        D6        E6        F6        G6        H6        I6        J6        K6        L6        A7        B7        C7        D7        E7        F7        G7        H7        I7        J7        K7        L7      H7_c      I7_c      J7_c      K7_c      L7_c        A8        B8        C8        D8        E8        F8        I8        J8        K8        L8        M8        N8       A10       B10       C10       D10       E10       F10       G10       H10
    ARS207     0.015     0.078     0.211     0.522     0.086     0.119     0.355     0.742     0.062     0.113     0.054     0.193       NaN     0.132     0.011     0.108     0.106       NaN       NaN       NaN       NaN       NaN     0.027     0.018       NaN     0.122     0.574     0.738       NaN       NaN     0.239     0.545     0.101       NaN       NaN       NaN     0.822       NaN       NaN       NaN       NaN     0.825       NaN       NaN       NaN     0.011     0.151     0.502     0.104     0.558     0.804       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS207.1     0.012     0.042     0.185     0.270     0.067     0.067     0.325     0.454     0.030     0.044     0.032     0.059       NaN     0.132     0.008     0.108     0.106       NaN       NaN       NaN       NaN       NaN     0.017     0.013       NaN     0.043     0.233     0.327       NaN     0.029     0.170     0.228     0.101       NaN       NaN       NaN     0.364       NaN       NaN       NaN       NaN     0.365       NaN       NaN       NaN     0.006     0.101     0.366     0.035     0.189     0.385       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS207.5     0.015     0.078     0.211     0.522     0.086     0.119     0.355     0.742     0.062     0.113     0.054     0.193       NaN     0.132     0.011     0.108     0.106       NaN       NaN       NaN       NaN       NaN     0.027     0.018       NaN     0.417     0.574     0.738       NaN       NaN     0.239     0.545     0.101       NaN       NaN     0.485     0.822       NaN     0.638     0.602     0.486     0.825       NaN     0.741     0.640     0.248     0.151     0.502     0.387     0.558     0.804       NaN       NaN       NaN     0.601       NaN       NaN       NaN     0.448     0.900     0.750       NaN     0.553     0.924     0.751
  ARS207.8     0.015     0.078     0.075     0.522     0.086     0.119     0.067     0.042     0.062     0.113     0.054     0.193       NaN     0.132     0.068     0.108     0.106       NaN       NaN       NaN       NaN       NaN     0.109     0.071       NaN     0.051     0.048     0.738       NaN       NaN     0.068     0.039     0.101       NaN       NaN       NaN     0.822       NaN       NaN       NaN       NaN     0.825       NaN       NaN       NaN     0.094     0.069     0.078     0.045     0.051     0.804       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS208     1.212     1.248     1.101     1.087     1.193     1.206     1.156     1.014     1.265     1.229     1.238     1.131     1.326     1.212     1.426     1.144     1.155     0.863     0.756     1.144     1.032     1.224     1.884     1.567     1.177     2.009     1.504     1.086     1.117     1.164     1.081     1.122     1.013       NaN     1.096     1.147     1.118       NaN     1.005       NaN     1.147     1.122       NaN     1.168       NaN     2.175     1.414     1.100     1.749     1.524     1.072       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     1.090     1.131       NaN       NaN       NaN     1.139
    ARS209     1.271     1.334     1.188     1.218     1.219     1.225     1.240     1.117     1.365     1.466     1.340     1.403     1.207     1.278     1.356     1.313     1.232     1.081     1.065     1.226     1.106     1.186     2.108     1.513     1.185     2.104     1.470     1.116     1.164     1.206     1.153     1.205     1.171       NaN     1.106     1.079     1.095       NaN     0.984       NaN     1.080     1.099       NaN     1.144       NaN     1.910     1.299     1.151     1.906     1.407     1.131       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     1.011     1.056       NaN       NaN       NaN     0.990
  ARS210.5       NaN       NaN     0.029     0.019       NaN       NaN     0.047     0.032       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.019     0.020       NaN       NaN     0.018     0.014       NaN       NaN       NaN       NaN     0.020       NaN       NaN       NaN       NaN     0.020       NaN       NaN       NaN       NaN       NaN     0.031       NaN     0.022     0.023       NaN       NaN     0.662       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS211     0.139     0.187     0.623     0.717     0.355     0.247     0.722     0.818     0.162     0.131     0.172     0.184     0.150     0.170     0.097     0.141     0.264     0.199     0.391     0.286     0.164     0.278     0.193     0.139     0.123     0.229     0.725     0.852     0.106     0.122     0.558     0.710     0.233     0.127     0.229     0.161     0.719     0.372     0.413     0.433     0.161     0.722     0.372     0.480     0.461     0.137     0.556     0.831     0.221     0.685     0.904     0.358     0.288     0.602     0.373     0.294     0.355     0.252     0.235     0.627     0.577     0.419     0.355     0.756     0.647
    ARS212       NaN     0.036     0.097     0.048     0.039       NaN     0.118     0.077     0.046     0.038     0.053     0.051       NaN     0.095     0.020       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.070     0.051     0.044     0.057     0.082     0.093       NaN       NaN     0.105     0.056       NaN       NaN       NaN       NaN     0.076       NaN       NaN       NaN       NaN     0.077       NaN       NaN       NaN     0.020     0.076     0.125     0.048     0.066     0.064       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS213       NaN     0.099     0.069     0.391     0.063     0.139     0.148     0.734     0.071     0.194     0.052     0.204       NaN     0.247       NaN     0.164       NaN     0.077       NaN     0.259       NaN     0.213     0.033     0.033       NaN     0.203       NaN     0.611       NaN     0.096     0.119     0.451       NaN       NaN       NaN       NaN     0.793       NaN       NaN       NaN       NaN     0.796       NaN       NaN       NaN     0.011     0.053     0.240     0.147     0.370     0.586       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.287       NaN       NaN       NaN     0.285     0.514
